backward(s),in the direction behind you,/ˈbækwəd(z)/
bandage,"a ​long, ​narrow ​piece of ​cloth that is ​tied around an ​injury or a ​part of someone's ​body that has been ​hurt",/ˈbændɪdʒ/
bang sth,hit a part of your body against sth when you are moving,/bæŋ/
bleed,loose blood from your body,/bliːd/
blood,the ​red ​liquid that is ​sent around the ​body by the ​heart,/blʌd/
bruise,"an ​injury or ​mark where the ​skin has not been ​broken but is ​darker in ​colour, often as a ​result of being ​hit by something",/bruːz/
burn,"to be ​hurt, ​damaged, or ​destroyed by ​fire or ​extreme ​heat",/bɜːn/
come round,become conscious again,/ˌkʌm ˈraʊnd/
conscious,in a woken up state,/ˈkɒnʃəs/
cover sth,"put sth over sth, especially to proctect it",/ˈkʌvə ͬ/
cut,"an ​injury made when the ​skin is cut with something ​sharp",/kʌt/
develop,grow or increase,/dɪˈveləp/
dizzy,feeling as if everything is turning around and you might fall,/ˈdɪzi/
dressing,"a ​covering that is put on a ​cut or an ​area of ​damaged ​skin to ​protect it",/ˈdresɪŋ/
elbow,"the ​part in the ​middle of the ​arm where it ​bends",/ˈelbəʊ/
faint,to loose conscious (SYN pass out),/feɪnt/
forward(s),in the direction in front of you,/ˈfɔːwəd(z)/
heal,"to make or ​become well again, ​especially after a ​cut or other ​injury",/hiːl/
heal up,"the skin or bone grows back together and becomes healthy again",/ˌhiːl ˈʌp/
infection,an illness caused by bacteria or a virus,/ɪnˈfekʃn/
injure,"to ​hurt or ​cause ​physical ​harm to a ​person or ​animal",/ˈɪndʒə ͬ/
injury,"an area of damage done to sb's body, especilaly in an accident",/ˈɪndʒəri/
nasty,very bad or unpleasant,/ˈnɑːsti/
pass out,to loose conscious (SYN faint),/ˌpɑːs ˈaʊt/
prevent sth,stop sth from happening,/prɪˈvent/
prevention,the act of stopping sth from happening,/prɪˈvenʃn/
running water,water stream,/ˌrʌnɪŋ ˈwɔːtə ͬ/
slipped,to slide without intending to,/slɪpt/
swollen,large than usual because of an injury,/ˈswəʊlən/
symptom,a change in your body which is a sign of illness,/ˈsɪmptəm/
temporarily,for a short time only,/ˈtemprərəli/
thoroughly,in a very careful and complete way,/ˈθʌrəli/
unconscious,"in a state like sleep, often caused by an injury",/ˌʌnˈkɒnʃəs/
wound,an area of damage to part of your body,/wuːnd/
