appointment,a formal arrangement to meet or visit someone at a particular time and place,/əˈpɔɪntmənt/
bite sth,sut sth with your teeth,/baɪt/
cause sth,"be the reason that sth happens, often sth bad",/kɔːz/
check-up,"a medical or dental examination to see if you are healthy",/ˈtʃek ˌʌp/
chew,use your teeth to break up food in your mouth,/tʃuː/
dental surgery,a place where a dentist sees you,/ˈdentl ˌsɜːdʒəri/
dread,be afraid of something that is going to happen,/dred/
examine sb,look at sb very carefully,/ɪgˈzæmɪn/
filling,a mixture that a dentist puts in your tooth to fill a hole,/ˈfɪlɪŋ/
have toothache,have a pain in your tooth,/ˌhæv ˈtuːθeɪk/
look forward to,you are happy or excited about something that is going to happen,/ˌlʊk ˈfɔːwəd tə/
make an appointment,"arrange a time to go to a dentist, doctor, etc",/ˌmeɪk ən əˈpɔɪntmənt/
painful,when something hurts,/ˈpeɪnfl/
surgery,"the ​treatment of ​injuries or ​diseases in ​people or ​animals by ​cutting ​open the ​body and ​removing or ​repairing the ​damaged ​part",/ˈsɜːdʒəri/
take a tooth out,remove a tooth from your mouth,/ˌteɪk ə ˈtuːθ aʊt/
tooth,one of the hard, ​white ​objects in the ​mouth that are used for ​biting and ​chewing ,/tuːθ/
toothache,pain in tooth,/ˈtuːθeɪk/
treatment,the things a doctor or dentist does to make you better,/ˈtriːtmənt/
doctor's surgery,a place where a doctor sees you,/ˈdɒktəz ˌsɜːdʒəri/
